Number,Date ,Time,T5-T0 (Mins.),Location,Class,Affected Volume,Total Excess Travel Time,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction,Responding IMTs,MATSim Link,Start,End,,,,,,
127,8/14/2018,17:33:48,18,278101 I15 NB,3,6159,412.69,40.36074,-111.7855,6,2,0.3333,2,24404,63228,64308,,,,,,
128,8/20/2018,9:21:59,49,6800 S I15 SB,3,5632,472.03,40.63165,-111.9043,6,2,0.2698,1,25118,33719,36659,,,,,,
129,8/22/2018,8:06:15,29,100 E I80 WB,3,2194,508.79,40.71814,-111.8826,4,3,0.2885,1,38329,29175,30915,,,,,,
130,8/22/2018,9:53:13,69,8900 S I15 NB,3,5842,669.87,40.59016,-111.90093,6,1,0.1667,1,24420,35593,39733,,,,,,
131,8/27/2018,17:28:14,35,269012 I15 NB,3,5858,445.83,40.70797,-111.90357,5,2,0.1667,2,33620,62894,64994,,,,,,
132,9/7/2018,14:06:49,19,9000 S I15 SB,3,8895,589.68,40.59854,-111.90346,7,1,0.1429,2,31740,50809,51949,,,,,,
133,9/14/2018,8:56:27,35,1767 N I15 SB,3,7570,464.31,40.80952,-111.924,4,1,0.25,1,24436,32187,34287,,,,,,
134,9/14/2018,14:14:09,9,7400 S I15 NB,3,4362,527.48,40.59854,-111.90346,6,2,0.1667,2,33540,51249,51789,,,,,,
135,9/14/2018,16:28:57,37,1500 N I15 NB,3,4885,584.34,40.8005,-111.91996,4,1,0.25,1,24423,59337,61557,,,,,,
136,9/18/2018,7:51:07,61,700 E I80 WB,3,4104,643.04,40.71861,-111.87123,4,2,0.3856,2,24917,28267,31927,,,,,,
137,9/24/2018,8:23:48,56,4500 S I15 SB,3,9481,447.69,40.71814,-111.89111,6,2,0.2,1,31372,30228,33588,,,,,,
138,9/27/2018,9:03:33,32,9000 S I15 NB,3,5323,417.09,40.40017,-111.84805,5,2,0.25,1,24516,32613,34533,,,,,,
139,3/16/2018,5:41:27,229,253007 I15 SB,4,8661,1699.01,40.07853,-111.70956,3,3,1,1,24404,20487,34227,,,,,,
140,3/26/2018,16:30:35,44,2336 N I15 NB,4,7337,1638.21,40.81193,-111.92363,4,3,0.6098,1,24924,59435,62075,,,,,,
141,3/27/2018,7:54:48,31,280003 I15 NB,4,11241,1125.86,40.398666,-111.84554,5,3,0.2571,1,24924,28488,30348,,,,,,
142,3/28/2018,12:56:50,92,5300 S I15 NB,4,11769,1611,40.64801,-111.9023,5,2,0.4,2,38344,46610,52130,,,,,,
143,3/29/2018,17:48:02,70,8000 S I15 SB,4,5988,1180.06,40.6154,-111.90573,4,3,0.3387,1,24924,64082,68282,,,,,,
144,5/3/2018,17:27:16,20,279000 I15 SB,4,3391,1308.62,40.61386,-111.90596,5,2,0.3,1,24520,62836,64036,,,,,,
145,5/11/2018,7:33:49,45,3300 S I15 NB,4,9329,1058.3,40.69615,-111.90163,4,2,0.5,1,35382,27229,29929,,,,,,
146,5/22/2018,16:12:14,58,14931 S I15 NB,4,7310,1446.21,40.4829,-111.89984,6,4,0.335,1,24390,58334,61814,,,,,,
147,5/22/2018,17:36:01,17,278101 I15 NB,4,13926,1513.49,40.2372,-111.68798,5,2,0.2364,1,24305,63361,64381,,,,,,
148,5/29/2018,17:24:18,22,279002 I15 NB ,4,7935,1404.61,40.72862,-111.90436,5,3,0.272,1,24951,62658,63978,,,,,,
149,6/12/2018,16:06:03,18,900 N I15 NB,4,17452,1253.43,40.79084,-111.91562,3,3,0.49,1,45972,57963,59043,,,,,,
150,6/15/2018,12:59:15,34,8000 S I15 NB,4,10555,1283.53,40.59854,-111.90346,5,2,0.4,1,24443,46755,48795,,,,,,
151,6/15/2018,14:56:13,35,600 N I15 NB,4,20647,1108.43,40.77403,-111.91016,5,1,0.2,1,33550,53773,55873,,,,,,
152,6/20/2018,8:58:01,26,1000 N I15 SB,4,6771,987.55,40.81912,-111.91663,4,3,0.25,2,24420,32281,33841,,,,,,
153,6/20/2018,17:52:16,84,273995 I15 SB,4,8176,945.18,40.7923,-111.9162,6,3,0.6825,1,24390,64336,69376,,,,,,
154,6/22/2018,13:00:52,7,9400 S I15 NB,4,15051,1112.69,40.574,-111.90003,6,1,0.1667,2,24420,46852,47272,,,,,,
155,6/26/2018,18:11:38,41,8100 S I15 NB,4,7606,1565.1,40.79084,-111.91562,6,3,0.25,1,24605,65498,67958,,,,,,
156,7/9/2018,7:50:44,11,9800 S I15 NB,4,17005,1300.05,40.56634,-111.89949,6,1,0.1667,1,24951,28244,28904,,,,,,
157,7/11/2018,15:22:14,5,7200 S I15 SB,4,8865,1497.59,40.63165,-111.9043,6,1,0.1667,2,24608,55334,55634,,,,,,
158,7/17/2018,18:01:36,71,281930 I15 NB,4,6767,838.09,40.42145,-111.87972,5,4,0.2921,1,24923,64896,69156,,,,,,
